Category Name,URL
Grocery,https://www.zeptonow.com/cn/fruits-vegetables/fruits-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/e78a8422-5f20-4e4b-9a9f-22a0e53962e3
Cigarettes,https://www.zeptonow.com/cn/paan-corner/cigarettes/cid/cd50825e-baf8-47fe-9abc-ed9556122a9a/scid/5bcbee47-7c83-4279-80f0-7ecc068496df
Chips,https://www.zeptonow.com/cn/munchies/chips-crisps/cid/d2c2a144-43cd-43e5-b308-92628fa68596/scid/df4f5100-c02f-4906-83b8-ddb744081a7a
Curd,https://www.zeptonow.com/cn/dairy-bread-eggs/yogurts-dahi/cid/4b938e02-7bde-4479-bc0a-2b54cb6bd5f5/scid/4e975d7a-b3f9-4958-99e9-cd96cb7e7b0b
Hukka flavour,https://www.zeptonow.com/cn/paan-corner/hookah-needs/cid/cd50825e-baf8-47fe-9abc-ed9556122a9a/scid/30ff2f8f-2a98-43c9-b34b-d1463a6398ce
Paan shop near me,https://www.zeptonow.com/cn/paan-corner/cigarettes/cid/cd50825e-baf8-47fe-9abc-ed9556122a9a/scid/5bcbee47-7c83-4279-80f0-7ecc068496df
Eggs price,https://www.zeptonow.com/cn/dairy-bread-eggs/eggs/cid/4b938e02-7bde-4479-bc0a-2b54cb6bd5f5/scid/d638f064-e7f3-4161-b692-a3f472c64020
Cheese slice,https://www.zeptonow.com/cn/dairy-bread-eggs/cheese/cid/4b938e02-7bde-4479-bc0a-2b54cb6bd5f5/scid/f594b28a-4775-48ac-8840-b9030229ff87
Fresh fruits,https://www.zeptonow.com/cn/fruits-vegetables/fresh-fruits/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/09e63c15-e5f7-4712-9ff8-513250b79942
Fresh vegetables,https://www.zeptonow.com/cn/fruits-vegetables/fresh-vegetables/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/b4827798-fcb6-4520-ba5b-0f2bd9bd7208
Refined oil,https://www.zeptonow.com/cn/atta-rice-oil-dals/oil/cid/2f7190d0-7c40-458b-b450-9a1006db3d95/scid/2b5e863c-9497-46ae-a7e9-85f6ef7380da
Butter price,https://www.zeptonow.com/cn/dairy-bread-eggs/butter/cid/4b938e02-7bde-4479-bc0a-2b54cb6bd5f5/scid/62b2b1eb-cd07-41b2-b567-cc878d2287fc
Paneer price,https://www.zeptonow.com/cn/dairy-bread-eggs/paneer-cream/cid/4b938e02-7bde-4479-bc0a-2b54cb6bd5f5/scid/1806412f-190a-46b1-be42-4237a4146eb1
Fruits & Vegetables,https://www.zeptonow.com/cn/fruits-vegetables/fresh-fruits/cid/64374cfe-d06f-4a01-898e-c07c46462c36/scid/09e63c15-e5f7-4712-9ff8-513250b79942
"Atta, Rice, Oil & Dals",https://www.zeptonow.com/cn/atta-rice-oil-dals/top-picks/cid/2f7190d0-7c40-458b-b450-9a1006db3d95/scid/84f270cf-ae95-4d61-a556-b35b563fb947
Masala & Dry Fruits,https://www.zeptonow.com/cn/masala-dry-fruits-more/top-picks/cid/0c2ccf87-e32c-4438-9560-8d9488fc73e0/scid/8b44cef2-1bab-407e-aadd-29254e6778fa
Sweet Cravings,https://www.zeptonow.com/cn/sweet-cravings/top-picks/cid/adab2f81-7140-4fe9-b8cf-3d809f40e38a/scid/002a4a04-fbc0-4fd9-a259-eb95158f8067
Frozen Food & Ice Creams,https://www.zeptonow.com/cn/frozen-food-ice-creams/top-picks/cid/aae1447d-1403-4a5c-a65f-bcb3afb93b5e/scid/98beb18c-0205-4267-9a30-7a749bec1b63
Baby Food,https://www.zeptonow.com/cn/packaged-food/baby-food/cid/5736ad99-f589-4d58-a24b-a12222320a37/scid/5eef200f-d318-4dad-90bd-ccc579d165f3
"Dairy, Bread & Eggs",https://www.zeptonow.com/cn/dairy-bread-eggs/top-picks/cid/4b938e02-7bde-4479-bc0a-2b54cb6bd5f5/scid/b26b6bcf-7c81-48e7-a9bc-fec3825bad2a
Cold Drinks & Juices,https://www.zeptonow.com/cn/cold-drinks-juices/top-picks/cid/947a72ae-b371-45cb-ad3a-778c05b64399/scid/7dceec53-78f9-4f06-83d7-c8edd9c2f71a
Munchies,https://www.zeptonow.com/cn/munchies/top-picks/cid/d2c2a144-43cd-43e5-b308-92628fa68596/scid/d648ea7c-18f0-4178-a202-4751811b086b
"Meats, Fish & Eggs",https://www.zeptonow.com/cn/meats-fish-eggs/top-picks/cid/4654bd8a-fb30-4ee1-ab30-4bf581b6c6e3/scid/b6fbf886-79f1-4a34-84bf-4aed50175418
Breakfast & Sauces,https://www.zeptonow.com/cn/breakfast-sauces/top-picks/cid/f804bccc-c565-4879-b6ab-1b964bb1ed41/scid/68922181-4e0e-4a6b-9862-cf1a02ba240e
"Tea, Coffee & More",https://www.zeptonow.com/cn/tea-coffee-more/top-picks/cid/d7e98d87-6850-4cf9-a37c-e4fa34ae302c/scid/e6763c2d-0bf3-4332-82e4-0c8df1c94cad
Biscuits,https://www.zeptonow.com/cn/biscuits/top-picks/cid/2552acf2-2f77-4714-adc8-e505de3985db/scid/3a10723e-ba14-4e5c-bdeb-a4dce2c1bec4
Makeup & Beauty,https://www.zeptonow.com/cn/makeup-beauty/top-picks/cid/2e5eae34-1666-4ddc-8903-76e6547f72e4/scid/e64390a2-eaaa-4f23-b1a6-422df5e2af60
Bath & Body,https://www.zeptonow.com/cn/bath-body/shampoo-conditioner/cid/26e64367-19ad-4f80-a763-42599d4215ee/scid/cbc00f48-d856-4900-ad3e-859f332f199b
Cleaning Essentials,https://www.zeptonow.com/cn/cleaning-essentials/liquid-detergents-additives/cid/1a7e46a8-e627-450f-8960-490b550eeee6/scid/dfb37880-b40f-4783-9502-a56e12edbabc
Home Needs,https://www.zeptonow.com/cn/home-needs/top-picks/cid/ac7b3ee1-98cb-48b8-8c62-27f47b4185a2/scid/e23f3966-4135-4aa2-88ca-0baa7dce1e68
Electricals & Accessories,https://www.zeptonow.com/cn/electricals-accessories/top-picks/cid/966dc8a0-8f21-420e-a897-8dd70b4228f6/scid/7734eb25-787d-4929-ab87-60d48b1391cb
Hygiene & Grooming,https://www.zeptonow.com/cn/hygiene-grooming/feminine-hygiene/cid/875671b0-ec18-42c7-9749-c2cf165509fa/scid/1774e2ec-d3e9-4387-bf8b-661bacf44f1b
Health & Baby Care,https://www.zeptonow.com/cn/health-baby-care/sexual-wellness/cid/46853481-25d4-4126-947b-c6d96f0669f6/scid/95c866f4-0647-4368-9bb4-88ca0ff66ab0
Homegrown Brands,https://www.zeptonow.com/cn/homegrown-brands/tea-coffee/cid/2223e3e6-334d-4aa8-8e22-dcf577faa933/scid/353b3339-3f85-416d-b662-9c42685c96ce
Paan Corner,https://www.zeptonow.com/cn/paan-corner/cigarettes/cid/cd50825e-baf8-47fe-9abc-ed9556122a9a/scid/5bcbee47-7c83-4279-80f0-7ecc068496df
